,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,senftenberg,51.516667,14.016667000000002,283.32,76,75,8.7
1,krym,47.300246,39.516371,285.15,81,40,2.0
2,odawara,35.255556,139.159722,286.83,93,90,3.6
3,sommacampagna,45.4,10.833333,288.86,54,20,1.5
4,channahon,41.429444399999994,-88.2286111,275.6,93,90,3.6
5,georgetown,30.6325,-97.6769444,303.15,70,75,3.1
6,datu paglas,6.766667,124.85,295.823,100,100,1.41
7,jagodje,45.5322222,13.655,289.51,67,75,3.6
8,corpus christi,27.8002778,-97.39611109999998,279.31,52,1,3.1
9,autazes,-3.583333,-59.13333299999999,306.348,60,0,3.31
10,lamont,53.75,-112.78333300000001,287.54,51,1,1.41
11,san josecito,10.016667,-84.1,291.73,100,75,1.0
12,novokuznetsk,53.7557,87.1099,270.923,86,32,2.96
13,sarankhola,22.3,89.7833333,296.998,84,32,2.76
14,sebeta,8.916667,38.616667,295.15,40,20,7.2
15,sendhwa,21.683332999999998,75.1,293.848,50,0,1.11
16,brighouse,53.7,-1.7833330000000003,287.69,93,90,9.3
17,sausar,21.65,78.783333,298.15,65,20,1.11
18,cadagmayan,10.816667,122.5,295.923,99,36,1.26
19,trbovlje,46.155,15.053333300000002,287.49,47,75,1.0
20,ajuterique,14.383333300000002,-87.7,293.15,100,40,2.1
21,moosomin,50.15,-101.666667,269.748,91,80,1.81
22,fertorakos,47.71411,16.655207,284.15,57,75,8.2
23,oktyabrsk,53.167221999999995,48.700556,273.698,88,88,5.06
24,salmas,38.1973,44.7653,296.15,17,75,6.2
25,kohat,33.581958,71.449291,297.15,47,5,2.1
26,mirwah,25.309281,69.05211,299.798,43,0,0.91
27,phaltan,17.983333,74.43333299999999,296.973,56,20,1.51
28,gyonk,46.557145,18.477029,285.15,58,75,4.6
29,sergeyevka,53.88,67.41583299999999,269.498,90,76,6.46
30,bato,10.808542,123.373303,297.223,97,20,1.21
31,adiake,5.2863370000000005,-3.304025,304.15,74,40,6.2
32,ghatal,22.666667,87.716667,297.898,68,24,2.21
33,bree,51.133333,5.6,284.38,81,92,6.7
34,chiquilistlan,20.083333,-103.85,282.15,87,5,1.41
35,santa maria del oro,21.333333,-104.583333,282.223,44,0,1.21
36,candijay,9.8182,124.4977,297.173,100,88,1.96
37,zolskaya,43.908611,43.301111,280.473,92,20,1.56
38,tagakpan,7.112778,125.42916699999999,298.15,94,90,1.5
39,hoyerswerda,51.433333000000005,14.25,282.15,76,75,8.7
40,malhiao,9.878611,123.421944,297.648,100,76,1.41
41,villa corzo,16.166667,-93.25,295.15,73,75,6.2
42,kambanis,40.8880556,22.910277800000003,292.91,32,0,3.6
43,villeneuve-les-avignon,43.968405,4.796298,291.82,34,0,9.3
44,bad gandersheim,51.866667,10.033333,284.15,87,90,9.3
45,nanesti,45.55,27.5,282.673,83,20,3.71
46,vevey,46.465264000000005,6.841168,285.15,50,0,3.6
47,nereju,45.716667,26.716666999999998,282.398,87,68,1.96
48,saint aubin,-20.4916667,57.541388899999994,297.15,88,75,1.0
49,farah,32.374508,62.116383,290.473,74,0,1.01
50,saviano,40.9,14.5,292.92,32,0,3.6
51,sandalfoot cove,26.338888899999997,-80.18777779999999,299.44,78,20,7.2
52,kojnare,43.35,24.1333333,283.648,67,76,5.26
53,negri,46.7,26.966666999999998,285.15,62,20,4.1
54,beresti-sat,46.1,27.883333,281.073,81,8,3.76
55,biancavilla,37.633333,14.866667000000001,293.28,77,75,3.6
56,bilsi,28.133333,78.916667,294.048,67,0,1.11
57,decatur,40.830555600000004,-84.9291667,275.31,80,90,4.1
58,asau,46.433333000000005,26.4,285.15,62,20,4.1
59,verkh-usugli,52.683333,115.233333,264.198,67,0,2.41
60,borgarnes,64.533333,-21.916667,281.15,65,0,9.8
61,duns,55.766667000000005,-2.35,288.32,82,40,10.3
62,hamamatsu,34.7,137.73333300000002,288.598,99,92,5.46
63,pumiao,22.75,108.483333,297.15,69,0,1.0
64,moftinu mare,47.666667,22.666667,284.15,62,75,3.6
65,serzedo,41.405021999999995,-8.229264,299.76,39,0,1.5
66,fairburn,33.5669444,-84.58111109999999,287.84,82,75,3.1
67,tam ky,15.566667,108.483333,299.15,78,20,1.0
68,channapatna,12.65,77.216667,297.67,57,20,2.6
69,green bay,44.5191667,-88.0197222,275.82,100,90,4.6
70,randallstown,39.3672222,-76.7955556,285.98,71,1,4.1
71,suluq,31.668611100000003,20.25,295.198,61,92,6.71
72,kruszwica,52.675624,18.331314000000003,282.15,87,75,10.8
73,clinton,38.3686111,-93.7780556,276.78,100,1,3.6
74,poco das trincheiras,-9.3,-37.266667,304.198,58,0,5.26
75,soplaviento,10.3875,-75.13555600000001,299.52,88,40,1.5
76,strazske,48.8666667,21.8333333,281.64,76,90,3.0
77,gumushane,40.460278,39.481389,291.15,88,75,3.6
78,letchworth,51.966667,-0.216667,288.03,82,88,7.7
79,llorente,11.411944,125.545833,296.898,100,32,1.16
80,cerro maggiore,45.6,8.95,289.9,31,0,3.6
81,colonia,6.643611,122.1575,287.99,51,75,4.1
82,mamatid,14.235381,121.152601,302.15,83,75,1.5
83,ribera,37.5,13.266667000000002,289.448,50,0,4.06
84,laborie,13.75,-60.9833333,303.15,74,40,6.7
85,crosshouse,55.63333299999999,-4.55,286.67,93,75,9.8
86,hylkje,60.510278,5.354444,279.173,100,92,2.21
87,concord,43.2080556,-71.53805559999999,284.23,87,5,1.31
88,anton,8.4,-80.2666667,295.723,100,92,2.06
89,pont-a-celles,50.5,4.35,284.75,66,20,6.7
90,turbana,10.271695,-75.44221999999999,301.15,88,40,1.5
91,loanda,-22.9,-53.166667000000004,299.423,91,20,2.06
92,freiberg,48.933333000000005,9.2,282.68,76,75,8.7
93,nea tirins,37.6,22.8166667,287.848,87,88,1.66
94,bystrzyca klodzka,50.298252000000005,16.653029,278.573,96,92,6.71
95,kamagaya,35.803041,140.021792,287.14,93,75,5.7
96,mouzakion,37.7333333,20.8166667,280.448,78,0,1.51
97,ottawa,38.61555560000001,-95.2675,280.15,87,40,4.6
98,lajosmizse,47.021330999999996,19.561707000000002,284.5,76,90,6.2
99,farcasele,44.133333,24.466667,289.15,36,40,6.7
100,ludwigshafen,49.481111,8.435278,284.68,62,20,6.2
101,sandulot,9.104722,123.019444,298.798,100,92,2.51
102,puerto maldonado,-12.6,-69.1833333,300.15,78,75,2.6
103,kretinga,55.8166667,21.2,283.15,81,75,4.1
104,urlati,44.983333,26.233333000000002,284.15,93,75,4.6
105,antrim,54.666667000000004,-6.25,286.67,93,75,8.7
106,krishnapur,22.670278,88.269444,299.15,65,8,4.46
107,provita de sus,45.133333,25.633333,283.473,70,64,1.41
